
2024/06/22 (18:16:09) | ===> btop++ v.1.3.2
2024/06/22 (18:16:09) | ERROR: Stall in Runner thread, restarting!

2025/05/07 (14:35:54) | ===> btop++ v.1.4.0
2025/05/07 (14:35:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/07 (15:55:35) | ===> btop++ v.1.4.0
2025/05/07 (15:55:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/07 (18:14:26) | ===> btop++ v.1.4.0
2025/05/07 (18:14:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/07 (19:32:10) | ===> btop++ v.1.4.0
2025/05/07 (19:32:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/07 (19:56:36) | ===> btop++ v.1.4.0
2025/05/07 (19:56:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/07 (20:05:01) | ===> btop++ v.1.4.0
2025/05/07 (20:05:01) | WARNING: Intel GPU: Failed to initialize PMU
